学科类别,类别,学科代码及名称,学校名称
人文社科类,一级学科,0101 哲学,北京大学
人文社科类,一级学科,0101 哲学,中国人民大学
人文社科类,一级学科,0101 哲学,复旦大学
人文社科类,二级学科,010101 马克思主义哲学,北京师范大学
人文社科类,二级学科,010101 马克思主义哲学,南开大学
人文社科类,二级学科,010101 马克思主义哲学,吉林大学
人文社科类,二级学科,010101 马克思主义哲学,南京大学
人文社科类,二级学科,010101 马克思主义哲学,武汉大学
人文社科类,二级学科,010101 马克思主义哲学,中山大学
人文社科类,二级学科,010101 马克思主义哲学,中共中央党校
人文社科类,二级学科,010102 中国哲学,武汉大学
人文社科类,二级学科,010104 逻辑学,中山大学
人文社科类,二级学科,010105 伦理学,湖南师范大学
人文社科类,二级学科,010107 宗教学,四川大学
人文社科类,二级学科,010108 科学技术哲学,山西大学
人文社科类,二级学科,010108 科学技术哲学,东北大学
人文社科类,二级学科,010101 马克思主义哲学,黑龙江大学
人文社科类,二级学科,010102 中国哲学,华东师范大学
人文社科类,二级学科,010102 中国哲学,中山大学
人文社科类,二级学科,010103 外国哲学,浙江大学
人文社科类,一级学科,0201 理论经济学,北京大学
人文社科类,一级学科,0201 理论经济学,中国人民大学
人文社科类,一级学科,0201 理论经济学,南开大学
人文社科类,一级学科,0201 理论经济学,复旦大学
人文社科类,一级学科,0201 理论经济学,厦门大学
人文社科类,一级学科,0201 理论经济学,武汉大学
人文社科类,二级学科,020101 政治经济学,南京大学
人文社科类,二级学科,020101 政治经济学,四川大学
人文社科类,二级学科,020101 政治经济学,西南财经大学
人文社科类,二级学科,020101 政治经济学,西北大学
人文社科类,二级学科,020102 经济思想史,上海财经大学
人文社科类,二级学科,020104 西方经济学,华中科技大学
人文社科类,二级学科,020105 世界经济,辽宁大学
人文社科类,二级学科,020102 政治经济学,浙江大学
人文社科类,二级学科,020103 经济史,中南财经政法大学
人文社科类,二级学科,020105 世界经济,北京师范大学
人文社科类,二级学科,020105 世界经济,南京大学
人文社科类,二级学科,020106 人口、资源与环境经济学,新疆大学
人文社科类,一级学科,0202应用经济学,中国人民大学
人文社科类,一级学科,0202应用经济学,中央财经大学
人文社科类,一级学科,0202应用经济学,南开大学
人文社科类,一级学科,0202应用经济学,厦门大学
人文社科类,二级学科,020201国民经济学,北京大学
人文社科类,二级学科,020201国民经济学,辽宁大学
人文社科类,二级学科,020202区域经济学,兰州大学
人文社科类,二级学科,020203财政学,东北财经大学
人文社科类,二级学科,020203财政学,上海财经大学
人文社科类,二级学科,020203财政学,中南财经政法大学
人文社科类,二级学科,020204金融学,辽宁大学
人文社科类,二级学科,020204金融学,复旦大学
人文社科类,二级学科,020204金融学,武汉大学
人文社科类,二级学科,020204金融学,中南财经政法大学
人文社科类,二级学科,020204金融学,暨南大学
人文社科类,二级学科,020204金融学,西南财经大学
人文社科类,二级学科,020205产业经济学,北京交通大学
人文社科类,二级学科,020205产业经济学,东北财经大学
人文社科类,二级学科,020205产业经济学,复旦大学
人文社科类,二级学科,020205产业经济学,山东大学
人文社科类,二级学科,020205产业经济学,暨南大学
人文社科类,二级学科,020205产业经济学,西安交通大学
人文社科类,二级学科,020206国际贸易学,对外经济贸易大学
人文社科类,二级学科,020206国际贸易学,湖南大学
人文社科类,二级学科,020207劳动经济学,首都经济贸易大学
人文社科类,二级学科,020208统计学,天津财经大学
人文社科类,二级学科,020208统计学,西南财经大学
人文社科类,二级学科,020209数量经济学,清华大学，北京协和医学院—清华大学医学部
